"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Caranx ignobilis",26.03942
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Gnathanodon speciosus",26.61633
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Gnathanodon speciosus",26.61633
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Triaenodon obesus",26.25509
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25534/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25535/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25535/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25536/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25540/?format=feather","2019","Caranx papuensis",26.9
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25541/?format=feather","2019","Carcharhinus albimarginatus",26.87267
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25541/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25544/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25544/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25544/?format=feather","2019","Lethrinus miniatus",23.073
