"sample","number","year","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25600/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25638/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25636/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25618/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25621/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25641/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25590/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25589/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25595/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25643/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25627/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25603/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25602/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25598/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25606/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25609/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25593/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25613/?format=feather",0,"2022","0-50","all.indicators",NA
