OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	101	0	1648.09969	652.37313	1702.87408	585.95522
20210520-1	102	0	557.90976	745.79104	628.83106	691.50746
20210520-1	103	0	808.55194	678.98507	863.82476	602.20896
20210520-1	104	0	1100.18363	691.04478	1146.99475	637.31343
20210520-1	105	0	2323.14481	735.83582	2309.64953	870.40299
20210520-1	106	0	2324.48793	792.25373	2313.67891	932.86567
20210520-1	107	0	2386.94334	742.55224	2372.77650	825.40299
20210520-1	108	0	2322.73242	580.46269	2319.14481	532.52239
20210520-1	109	0	2094.40084	574.41791	2090.81322	529.83582
20210520-1	110	0	2340.86464	536.13433	2333.91920	453.26866
20210520-1	111	0	2619.24764	511.76119	2620.00525	459.98507
20210520-1	112	0	975.62539	1894.77612	943.91396	1979.32836
20210520-1	113	0	1094.49213	1971.34328	1036.58972	2127.76119
20210520-1	114	0	824.92865	1980.00000	760.37671	2129.77612
20210520-1	115	0	869.92340	1916.86567	844.32214	1990.74627
20210520-1	116	0	426.69360	1739.32836	397.64008	1968.16418
20210520-1	117	0	1665.70724	1861.14925	1620.44911	1875.19403
20210520-1	118	0	283.39979	1756.67164	257.88038	1687.29851
20210520-1	119	0	2534.13326	1759.82090	2605.99370	1886.98507
20210520-1	120	0	2778.02623	1766.94030	2841.59077	1825.79104
20210520-1	121	0	3328.51312	1610.83582	3381.41763	1860.82090
20210520-1	122	0	2480.13956	831.43284	2467.09129	821.91045
20210520-1	122	1	2458.64953	744.79104	2448.95908	738.62687
20210520-1	123	0	2315.60651	887.17910	2305.91605	923.32836
20210520-1	123	1	2335.08185	775.68657	2326.73452	818.55224
20210520-1	124	0	3034.39035	726.52239	2987.93914	1047.73134
20210520-1	125	0	3139.80168	1977.31343	3195.27807	2137.83582
20210520-1	126	0	2000.81532	1820.11940	2108.85205	1852.76119
20210520-1	127	0	2128.93809	626.43284	2122.39979	507.02985
20210520-1	128	0	2884.45855	714.13433	2866.85100	680.94030
20210520-1	129	0	915.41973	630.41791	972.53200	559.32836
20210520-1	130	0	699.84785	679.44776	760.98951	649.32836
20210520-1	131	0	246.46380	1578.20896	255.86569	1557.97015
20210520-1	132	0	2967.08604	811.10448	2935.55719	936.74627
20210520-1	132	1	2966.41448	631.77612	2916.75341	779.58209
20210520-1	133	0	1377.83526	826.67164	1415.35572	920.00000
20210520-1	133	1	1355.00210	717.19403	1395.88038	814.55224
20210520-1	134	0	3036.92865	709.68657	3010.10073	822.56716
20210520-1	135	0	3239.13536	1826.04478	3289.55614	1840.76119
20210520-1	136	0	2992.37461	1651.95522	3044.81637	1771.02985
20210520-1	137	0	3208.33054	1669.11940	3260.09969	1735.17910
20210520-1	138	0	1175.02308	674.20896	1224.63169	799.10448
20210520-1	139	0	310.13012	617.22388	384.14481	677.49254
20210520-1	140	0	503.74711	688.01493	568.10073	886.43284
20210520-1	141	0	1721.41448	667.05970	1771.37566	719.38806
20210520-1	142	0	1631.83631	591.73134	1692.91920	546.65672
20210520-1	143	0	750.94439	684.85075	807.49633	721.37313
20210520-1	144	0	621.50682	1918.20896	586.29171	2148.58209
20210520-1	145	0	212.88562	1850.95522	207.99370	1824.91045
20210520-1	146	0	544.27282	2029.02985	525.32634	2099.55224
20210520-1	147	0	485.84680	2006.86567	454.81217	2082.08955
20210520-1	148	0	2860.60021	1686.02985	2921.74292	1921.32836
20210520-1	149	0	3091.61805	1845.88060	3150.07450	1937.44776
20210520-1	150	0	2777.85519	1786.34328	2838.81637	1788.44776
20210520-1	151	0	2474.15845	1778.31343	2541.98741	1769.49254
20210520-1	152	0	2252.54250	1797.79104	2336.48898	1854.11940
20210520-1	153	0	1990.60021	1679.38806	2074.60021	1663.53731
20210520-1	154	0	2679.42392	643.05970	2668.39140	749.46269
20210520-1	155	0	2398.03882	618.20896	2389.30640	743.23881
20210520-1	156	0	2178.87513	575.31343	2172.85519	566.02985
20210520-1	157	0	2426.56139	430.70149	2424.43442	342.40299
20210520-1	158	0	2902.06611	403.31343	2909.04197	350.43284
20210520-1	159	0	2940.45855	1892.28358	2995.67471	1999.47761
20210520-1	160	0	3467.23295	512.46269	3461.10073	520.86567
20210520-1	161	0	3549.80588	536.22388	3535.58552	576.00000
20210520-1	162	0	2378.76705	509.17910	2380.74711	469.86567
20210520-1	163	0	2744.97377	1643.17910	2805.97272	1632.46269
20210520-1	164	0	11.41658	731.67164	118.86674	1008.73134
