"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-10_south-west_stereo-BRUVs","IO64","Monacanthidae","Acanthaluteres","brownii",455.23379,1,4126.91372,1.46389418140405,"37465001"
"2020-10_south-west_stereo-BRUVs","IO64","Monacanthidae","Scobinichthys","granulatus",218.60533,1,2504.49557,0.17316498929852,"37465007"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",139.9085,1,1303.99805,0.0772125972355725,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",164.87595,1,1880.47651,0.126157960853532,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",135.53514,1,1733.41171,0.0702181701959774,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",171.78967,1,1576.0656,0.142644643135785,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",168.74155,1,1855.48392,0.135209803884882,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Scorpididae","Neatypus","obliquus",153.38311,1,2106.66468,0.101645730996738,"37361002"
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",147.74652,1,2470.68965,0.0472861995637428,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",148.59569,1,2230.98362,0.048129496679121,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",113.62234,1,1817.30642,0.0210352867683783,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",116.58842,1,2357.79716,0.0227755045135755,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",163.92155,1,2735.95825,0.0651476147786906,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",128.92193,1,1839.38322,0.0310575886045419,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",123.14568,1,2226.10764,0.026962788636214,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",144.3549,1,2342.39292,0.0440175686198805,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",118.11162,1,1413.23384,0.0237058416152446,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",115.87221,1,2038.74301,0.0223467195451464,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",131.77931,1,1843.51355,0.033230164268466,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",157.38092,1,3016.31705,0.0574584875502779,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",122.37253,1,2057.49627,0.0264440666932814,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",148.40599,1,2049.97168,0.0479402343065146,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",143.74287,1,1745.30775,0.0434444866908745,NA
"2020-10_south-west_stereo-BRUVs","IO64","Serranidae","Caesioperca","sp1",112.92962,1,2538.12242,0.0206422347343741,NA
"2020-10_south-west_stereo-BRUVs","IO65","Glaucosomatidae","Glaucosoma","hebraicum",298.80141,1,1841.86587,0.386456614277272,"37320004"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Coris","auricularis",137.19035,1,1036.97852,0.0302141308753846,"37384088"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Coris","auricularis",112.43311,1,1244.38607,0.0164337367141281,"37384088"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Coris","auricularis",114.81872,1,1238.90295,0.0175242267986042,"37384088"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Coris","auricularis",137.72463,1,1290.64285,0.030575638835037,"37384088"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Eupetrichthys","angustipes",111.87806,1,3714.13405,0.0154235582490487,"37384105"
"2020-10_south-west_stereo-BRUVs","IO65","Labridae","Ophthalmolepis","lineolatus",231.17186,1,1590.51535,0.0857162811289735,"37384040"
"2020-10_south-west_stereo-BRUVs","IO65","Pinguipedidae","Parapercis","ramsayi",85.29835,1,1654.12597,0.00496762120162182,"37390002"
"2020-10_south-west_stereo-BRUVs","IO66","Cheilodactylidae","Nemadactylus","valenciennesi",432.23346,1,2999.54484,1.4228853131109,"37377004"
"2020-10_south-west_stereo-BRUVs","IO66","Enoplosidae","Enoplosus","armatus",217.40104,1,2900.02479,0.0578370118966334,"37366001"
"2020-10_south-west_stereo-BRUVs","IO66","Enoplosidae","Enoplosus","armatus",223.77282,1,2607.06306,0.0632919514479427,"37366001"
"2020-10_south-west_stereo-BRUVs","IO66","Heterodontidae","Heterodontus","portusjacksoni",437.85208,1,1254.72739,0.712143260061608,"37007001"
"2020-10_south-west_stereo-BRUVs","IO66","Heterodontidae","Heterodontus","portusjacksoni",489.73661,1,2775.68535,1.00997133399955,"37007001"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Austrolabrus","maculatus",59.41511,1,1034.20984,0.00411049995212937,"37384025"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Coris","auricularis",314.04429,1,1400.32535,0.380883499133831,"37384088"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Ophthalmolepis","lineolatus",274.11944,1,4133.07754,0.146365462003756,"37384040"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Ophthalmolepis","lineolatus",161.57185,1,3143.26462,0.0278340122386651,"37384040"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Ophthalmolepis","lineolatus",100.27897,1,2127.78666,0.00622452904403503,"37384040"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Ophthalmolepis","lineolatus",99.60789,1,1452.99315,0.00609466540974614,"37384040"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Ophthalmolepis","lineolatus",115.2149,1,1382.49124,0.00962597380300414,"37384040"
"2020-10_south-west_stereo-BRUVs","IO66","Labridae","Pseudolabrus","biserialis",95.04395,1,1565.0821,0.0167470025620013,"37384149"
